run,type,module,name,attrname,attrvalue,value
scenario1-5-20211222-17:37:07-12112,runattr,,,network,Network,
scenario1-5-20211222-17:37:07-12112,runattr,,,processid,12112,
scenario1-5-20211222-17:37:07-12112,runattr,,,repetition,5,
scenario1-5-20211222-17:37:07-12112,runattr,,,replication,#5,
scenario1-5-20211222-17:37:07-12112,runattr,,,resultdir,results,
scenario1-5-20211222-17:37:07-12112,runattr,,,runnumber,5,
scenario1-5-20211222-17:37:07-12112,runattr,,,seedset,5,
scenario1-5-20211222-17:37:07-12112,param,,,**.server.p1,0.2,
scenario1-5-20211222-17:37:07-12112,param,,,**.server.p2,0.385,
scenario1-5-20211222-17:37:07-12112,param,,,**.clients.num_clients,60,
scenario1-5-20211222-17:37:07-12112,param,,,**.processor.service_rate,1000,
scenario1-5-20211222-17:37:07-12112,param,,,**.disk.service_rate,300,
scenario1-5-20211222-17:37:07-12112,param,,,**.webServer.serv_rate_w,80,
scenario1-5-20211222-17:37:07-12112,param,,,**.clients.timeWindow,5s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.clients,pkt_counter:mean,,,192.86567164179
scenario1-0-20211222-17:37:02-12112,attr,Network.clients,pkt_counter:mean,source,pkt_counter_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.clients,response_time:mean,,,1.5534940860977
scenario1-0-20211222-17:37:02-12112,attr,Network.clients,response_time:mean,source,response_time_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.clients,interarrival_time:mean,,,0.025925539941773
scenario1-0-20211222-17:37:02-12112,attr,Network.clients,interarrival_time:mean,source,interarrival_time_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.server.processor,service_time_processor:mean,,,0.0010041422470777
scenario1-0-20211222-17:37:02-12112,attr,Network.server.processor,service_time_processor:mean,source,service_time_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.server.processor,processor_backlog:mean,,,0.038961038961039
scenario1-0-20211222-17:37:02-12112,attr,Network.server.processor,processor_backlog:mean,source,processor_backlog_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.server.processor,pkt_counter_processor:mean,,,1922.79
scenario1-0-20211222-17:37:02-12112,attr,Network.server.processor,pkt_counter_processor:mean,source,pkt_counter_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.server.disk,service_time_disk:mean,,,0.0033198404136691
scenario1-0-20211222-17:37:02-12112,attr,Network.server.disk,service_time_disk:mean,source,service_time_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.server.disk,pkt_counter_disk:mean,,,738.54
scenario1-0-20211222-17:37:02-12112,attr,Network.server.disk,pkt_counter_disk:mean,source,pkt_counter_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.webServer,service_time_ws:mean,,,0.012530348150701
scenario1-0-20211222-17:37:02-12112,attr,Network.webServer,service_time_ws:mean,source,service_time_s,
scenario1-0-20211222-17:37:02-12112,scalar,Network.webServer,pkt_counter_ws:mean,,,798.44
scenario1-0-20211222-17:37:02-12112,attr,Network.webServer,pkt_counter_ws:mean,source,pkt_counter_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.clients,pkt_counter:mean,,,194.57711442786
scenario1-1-20211222-17:37:03-12112,attr,Network.clients,pkt_counter:mean,source,pkt_counter_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.clients,response_time:mean,,,1.5418459542011
scenario1-1-20211222-17:37:03-12112,attr,Network.clients,response_time:mean,source,response_time_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.clients,interarrival_time:mean,,,0.025709402095786
scenario1-1-20211222-17:37:03-12112,attr,Network.clients,interarrival_time:mean,source,interarrival_time_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.server.processor,service_time_processor:mean,,,0.00099553183219787
